Point ID,Points_0,Points_1,Points_2,Points_Magnitude,psi
123,5.410361525e+00,-1.167534110e+01,0.000000000e+00,1.286800690e+01,-8.610260810e-02
124,5.318922606e+00,-1.183053920e+01,0.000000000e+00,1.297122182e+01,-8.610260810e-02
125,8.211555748e+00,4.923740336e+00,0.000000000e+00,9.574594858e+00,1.230720951e+01
126,8.394184251e+00,4.748817653e+00,0.000000000e+00,9.644355777e+00,1.230720951e+01
127,5.171887074e+00,-4.039611470e+00,0.000000000e+00,6.562535847e+00,-8.610260810e-02
128,5.190311420e+00,-4.071655712e+00,0.000000000e+00,6.596795652e+00,-8.610260810e-02
129,9.438110779e+00,-2.116544984e+00,0.000000000e+00,9.672522822e+00,1.230720951e+01
130,9.405501316e+00,-2.155797288e+00,0.000000000e+00,9.649399823e+00,1.230720951e+01
131,7.793668987e+00,-3.648328516e+00,0.000000000e+00,8.605322611e+00,1.230720951e+01
132,7.765423736e+00,-3.677264071e+00,0.000000000e+00,8.592093857e+00,1.230720951e+01
133,7.432971122e+00,-4.037357778e+00,0.000000000e+00,8.458682966e+00,1.230720951e+01
134,7.422803607e+00,-4.050092466e+00,0.000000000e+00,8.455841908e+00,1.230720951e+01
135,9.354196501e+00,-1.159527285e+01,0.000000000e+00,1.489803157e+01,1.230720951e+01
136,9.405659041e+00,-1.164350359e+01,0.000000000e+00,1.496788555e+01,1.230720951e+01
137,6.000771077e+00,-1.040916245e+01,0.000000000e+00,1.201498716e+01,-8.610260810e-02
138,5.991653362e+00,-1.043781221e+01,0.000000000e+00,1.203527456e+01,-8.610260810e-02
139,2.365000000e-01,-5.508178822e+00,0.000000000e+00,5.513253684e+00,-8.610260810e-02
140,2.438975237e-01,-5.356995214e+00,0.000000000e+00,5.362544519e+00,-8.610260810e-02
141,8.901459670e+00,-1.112194953e+01,0.000000000e+00,1.424548159e+01,1.230720951e+01
142,9.026094171e+00,-1.125762167e+01,0.000000000e+00,1.442929040e+01,1.230720951e+01
143,5.692664602e+00,-1.115970735e+01,0.000000000e+00,1.252778904e+01,-8.610260810e-02
144,5.642408424e+00,-1.125433135e+01,0.000000000e+00,1.258954912e+01,-8.610260810e-02
145,5.243180618e+00,-4.192497599e+00,0.000000000e+00,6.713268884e+00,-8.610260810e-02
146,5.272119367e+00,-4.255435952e+00,0.000000000e+00,6.775247432e+00,-8.610260810e-02
147,8.158446534e+00,-1.022415408e+01,0.000000000e+00,1.308027433e+01,1.230720951e+01
148,8.167501615e+00,-1.023814507e+01,0.000000000e+00,1.309685829e+01,1.230720951e+01
149,9.172014285e+00,3.629411368e+00,0.000000000e+00,9.863998830e+00,1.230720951e+01
150,9.271832149e+00,3.413903112e+00,0.000000000e+00,9.880364663e+00,1.230720951e+01
151,9.055334379e+00,3.867243479e+00,0.000000000e+00,9.846555380e+00,1.230720951e+01
152,9.122193658e+00,3.734387131e+00,0.000000000e+00,9.856980490e+00,1.230720951e+01
153,9.336968775e+00,3.254803251e+00,0.000000000e+00,9.888009411e+00,1.230720951e+01
154,9.378734487e+00,3.158984481e+00,0.000000000e+00,9.896456110e+00,1.230720951e+01
155,3.967282135e+00,-1.338421742e+01,0.000000000e+00,1.395982104e+01,-8.610260810e-02
156,3.714147760e+00,-1.355684219e+01,0.000000000e+00,1.405641718e+01,-8.610260810e-02
157,1.262840833e+00,-1.371177209e+01,0.000000000e+00,1.376980250e+01,-8.610260810e-02
158,1.033674603e+00,-1.333940417e+01,0.000000000e+00,1.337939411e+01,-8.610260810e-02
159,1.283493642e+00,-1.374692695e+01,0.000000000e+00,1.380671418e+01,-8.610260810e-02
160,1.343226408e+00,-1.380628461e+01,0.000000000e+00,1.387147259e+01,-8.610260810e-02
161,7.479758096e-01,-1.253967850e+01,0.000000000e+00,1.256196660e+01,-8.610260810e-02
162,7.353494499e-01,-1.240497124e+01,0.000000000e+00,1.242674737e+01,-8.610260810e-02
163,8.471830726e-01,-1.278315031e+01,0.000000000e+00,1.281119241e+01,-8.610260810e-02
164,2.392862362e-01,-6.092825235e+00,0.000000000e+00,6.097522222e+00,-8.610260810e-02
165,2.540534952e-01,-5.898636510e+00,0.000000000e+00,5.904105001e+00,-8.610260810e-02
166,5.364981891e+00,-4.473247166e+00,0.000000000e+00,6.985196554e+00,-8.610260810e-02
167,5.379858586e+00,-4.505492455e+00,0.000000000e+00,7.017288698e+00,-8.610260810e-02
168,5.427680779e-01,-1.167820455e+01,0.000000000e+00,1.169081086e+01,-8.610260810e-02
169,5.123961714e-01,-1.128732931e+01,0.000000000e+00,1.129895362e+01,-8.610260810e-02
